Palabras de 3 caracteres
Casos encontrados: 27
Simbolo = BAACA  cantidad de apariciones = 9.0   probabilidad = 0.0045  Cantidad informacion = 4.918639576439611 unidades de orden 3
Simbolo = ACBCC  cantidad de apariciones = 4.0   probabilidad = 0.002  Cantidad informacion = 5.656780069296696 unidades de orden 3
Simbolo = ABAAC  cantidad de apariciones = 5.0   probabilidad = 0.0025  Cantidad informacion = 5.453666055721683 unidades de orden 3
Simbolo = BAACC  cantidad de apariciones = 11.0   probabilidad = 0.0055  Cantidad informacion = 4.735981237795473 unidades de orden 3
Simbolo = CBBCC  cantidad de apariciones = 13.0   probabilidad = 0.0065  Cantidad informacion = 4.583922056966818 unidades de orden 3
Simbolo = AACAA  cantidad de apariciones = 4.0   probabilidad = 0.002  Cantidad informacion = 5.656780069296696 unidades de orden 3
Simbolo = CBBCB  cantidad de apariciones = 20.0   probabilidad = 0.01  Cantidad informacion = 4.191806548578769 unidades de orden 3
Simbolo = CBBCA  cantidad de apariciones = 9.0   probabilidad = 0.0045  Cantidad informacion = 4.918639576439611 unidades de orden 3
Simbolo = AACAC  cantidad de apariciones = 4.0   probabilidad = 0.002  Cantidad informacion = 5.656780069296696 unidades de orden 3
Simbolo = AACAB  cantidad de apariciones = 3.0   probabilidad = 0.0015  Cantidad informacion = 5.9186395764396105 unidades de orden 3
Simbolo = AABAC  cantidad de apariciones = 7.0   probabilidad = 0.0035  Cantidad informacion = 5.147395827278189 unidades de orden 3
Simbolo = AABAB  cantidad de apariciones = 7.0   probabilidad = 0.0035  Cantidad informacion = 5.147395827278189 unidades de orden 3
Simbolo = AABAA  cantidad de apariciones = 4.0   probabilidad = 0.002  Cantidad informacion = 5.656780069296696 unidades de orden 3
Simbolo = ACAAA  cantidad de apariciones = 3.0   probabilidad = 0.0015  Cantidad informacion = 5.9186395764396105 unidades de orden 3
Simbolo = CABCC  cantidad de apariciones = 5.0   probabilidad = 0.0025  Cantidad informacion = 5.453666055721683 unidades de orden 3
Simbolo = CCCCC  cantidad de apariciones = 11.0   probabilidad = 0.0055  Cantidad informacion = 4.735981237795473 unidades de orden 3
Simbolo = CCCCB  cantidad de apariciones = 15.0   probabilidad = 0.0075  Cantidad informacion = 4.453666055721684 unidades de orden 3
Simbolo = CCCCA  cantidad de apariciones = 7.0   probabilidad = 0.0035  Cantidad informacion = 5.147395827278189 unidades de orden 3
Simbolo = CABCB  cantidad de apariciones = 5.0   probabilidad = 0.0025  Cantidad informacion = 5.453666055721683 unidades de orden 3
Simbolo = CABCA  cantidad de apariciones = 12.0   probabilidad = 0.006  Cantidad informacion = 4.656780069296696 unidades de orden 3
Simbolo = CCBCC  cantidad de apariciones = 9.0   probabilidad = 0.0045  Cantidad informacion = 4.918639576439611 unidades de orden 3
Simbolo = CCBCB  cantidad de apariciones = 14.0   probabilidad = 0.007  Cantidad informacion = 4.516466073706731 unidades de orden 3
Simbolo = CCBCA  cantidad de apariciones = 5.0   probabilidad = 0.0025  Cantidad informacion = 5.453666055721683 unidades de orden 3
Simbolo = BACAA  cantidad de apariciones = 5.0   probabilidad = 0.0025  Cantidad informacion = 5.453666055721683 unidades de orden 3
Simbolo = ACBBA  cantidad de apariciones = 3.0   probabilidad = 0.0015  Cantidad informacion = 5.9186395764396105 unidades de orden 3
Simbolo = BACAB  cantidad de apariciones = 6.0   probabilidad = 0.003  Cantidad informacion = 5.287709822868154 unidades de orden 3
Simbolo = BACAC  cantidad de apariciones = 3.0   probabilidad = 0.0015  Cantidad informacion = 5.9186395764396105 unidades de orden 3
Simbolo = BABAB  cantidad de apariciones = 9.0   probabilidad = 0.0045  Cantidad informacion = 4.918639576439611 unidades de orden 3
Simbolo = ACABB  cantidad de apariciones = 4.0   probabilidad = 0.002  Cantidad informacion = 5.656780069296696 unidades de orden 3
Simbolo = ACABA  cantidad de apariciones = 5.0   probabilidad = 0.0025  Cantidad informacion = 5.453666055721683 unidades de orden 3
Simbolo = BABAC  cantidad de apariciones = 4.0   probabilidad = 0.002  Cantidad informacion = 5.656780069296696 unidades de orden 3
Simbolo = BABAA  cantidad de apariciones = 8.0   probabilidad = 0.004  Cantidad informacion = 5.025850315725238 unidades de orden 3
Simbolo = ACAAB  cantidad de apariciones = 2.0   probabilidad = 0.001  Cantidad informacion = 6.287709822868153 unidades de orden 3
Simbolo = ACAAC  cantidad de apariciones = 4.0   probabilidad = 0.002  Cantidad informacion = 5.656780069296696 unidades de orden 3
Simbolo = ACBAC  cantidad de apariciones = 8.0   probabilidad = 0.004  Cantidad informacion = 5.025850315725238 unidades de orden 3
Simbolo = BAAAB  cantidad de apariciones = 4.0   probabilidad = 0.002  Cantidad informacion = 5.656780069296696 unidades de orden 3
Simbolo = ACBAA  cantidad de apariciones = 4.0   probabilidad = 0.002  Cantidad informacion = 5.656780069296696 unidades de orden 3
